hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
JAYASHREE MISAL & SNACKS (JMS),34 mins,"Indian, Snacks",Kandivali West, ,,34.0,indian,0.0,0.0,NONE,Yes
Krem Icecreams,34 mins,Ice Cream,Borivali West, ₹125 OFF ABOVE ₹249,,34.0,ice cream,0.0,125.0,ABOVE,Yes
Tummy Time,35 mins,Indian,Borivali West, ,,35.0,indian,0.0,0.0,NONE,Yes
Cheese leela,36 mins,"Fast Food, Burgers, Pizzas, Snacks, Salads",Borivali West, 10% OFF ABOVE ₹350,,36.0,fast food,10.0,350.0,ABOVE,Yes
Flavour stones,4.6 • 31 mins,Ice Cream,Borivali West, ,4.6,31.0,ice cream,0.0,0.0,NONE,Yes
Best Canteen,32 mins,Indian,Borivali West, ,,32.0,indian,0.0,0.0,NONE,Yes
Chow By Mexichino,3.8 • 32 mins,Chinese,Borivali West, ,3.8,32.0,chinese,0.0,0.0,NONE,Yes
Fusion Ice Cream House,4.9 • 29 mins,"Bakery, Desserts, Ice Cream",Kandivali West, ₹100 OFF ABOVE ₹999,4.9,29.0,bakery,0.0,100.0,ABOVE,Yes
Finom Cake Stop,3.4 • 31 mins,Bakery,Borivali West, 15% OFF ABOVE ₹1000,3.4,31.0,bakery,15.0,1000.0,ABOVE,Yes
Hirral Z Sweet Treats9,32 mins,"Bakery, Desserts",Borivali West, ,,32.0,bakery,0.0,0.0,NONE,Yes
High on Cafe,41 mins,"Indian, Juices, Beverages",Malad East, ,,41.0,indian,0.0,0.0,NONE,Yes
Bombay Bytes,3.9 • 41 mins,Indian,Borivali West, ,3.9,41.0,indian,0.0,0.0,NONE,Yes
Brishti chinese and lunch home,3.1 • 40 mins,Indian,Kandivali East, ,3.1,40.0,indian,0.0,0.0,NONE,Yes
Panchayat - The Kulhad Cafe,4.4 • 40 mins,"Indian, Italian, Beverages",Borivali West, ,4.4,40.0,indian,0.0,0.0,NONE,Yes
Chowrangee Cafe,4.3 • 41 mins,"Chinese, Bengali, Fast Food",Malad East, 10% OFF UPTO ₹40,4.3,41.0,chinese,10.0,40.0,UPTO,Yes
Fast Food Carnival,41 mins,"Pizzas, Beverages, Burgers, Pastas, Barbecue",Malad East, ,,41.0,pizzas,0.0,0.0,NONE,Yes
Ignite Pan Shop And General Store,4.4 • 42 mins,Paan,Borivali West, 20% OFF UPTO ₹120,4.4,42.0,paan,20.0,120.0,UPTO,Yes
Jai Ambe Fast Food,53 mins,"Fast Food, Pizzas, Waffle, Snacks, Beverages",Borivali West, ,,53.0,fast food,0.0,0.0,NONE,Yes
MMD Cafe Village,26 mins,"Beverages, Pizzas, Fast Food, Chinese, Italian",Malad East, ,,26.0,beverages,0.0,0.0,NONE,Yes
Khao piyo junction,25 mins,"Chinese, Indian, Malwani, Biryani",Malad East, ,,25.0,chinese,0.0,0.0,NONE,Yes
Flavour Fushion,27 mins,Burgers,Malad East, 40% OFF ABOVE ₹159,,27.0,burgers,40.0,159.0,ABOVE,Yes
The Bun Bites,29 mins,"Bakery, Desserts",Malad Kan West, 20% OFF UPTO ₹120,,29.0,bakery,20.0,120.0,UPTO,Yes
Mumbai Cake Company,23 mins,"Bakery, Desserts",Malad East, ₹100 OFF ABOVE ₹999,,23.0,bakery,0.0,100.0,ABOVE,Yes
Mahakal Matka Kulfi,25 mins,Beverages,Malad Kan West, ,,25.0,beverages,0.0,0.0,NONE,Yes
THALIVERY FOOD,26 mins,"Indian, Snacks, Fast Food",Malad East, ,,26.0,indian,0.0,0.0,NONE,Yes
Baithak - Taste of Kulhad,31 mins,"Beverages, Italian-American, Fast Food, Chinese, Snacks","Thakur Village, Kandivali (East)", ,,31.0,beverages,0.0,0.0,NONE,Yes
Biryani Daawat,4.1 • 30 mins,"Biryani, Beverages, Indian",Malad East, 50% OFF UPTO ₹100,4.1,30.0,biryani,50.0,100.0,UPTO,Yes
Rocky Rolls Cafe,4.2 • 24 mins,"Fast Food, Snacks",Malad East, ,4.2,24.0,fast food,0.0,0.0,NONE,Yes
Starwar Pizza,4.4 • 26 mins,"Chinese, Italian, Burgers, Pizzas, Desserts, Pastas",Malad East, 50% OFF UPTO ₹100,4.4,26.0,chinese,50.0,100.0,UPTO,Yes
Reena's Parathas,26 mins,"Indian, Italian",Malad East, 30% OFF UPTO ₹150,,26.0,indian,30.0,150.0,UPTO,Yes
Delicious Cake Shop,28 mins,"Bakery, Desserts",Malad East, 10% OFF UPTO ₹40,,28.0,bakery,10.0,40.0,UPTO,Yes
Madhurika's Kitchen,3.5 • 27 mins,"North Indian, South Indian, Snacks, Beverages",Malad East, ₹250 OFF ABOVE ₹999,3.5,27.0,north indian,0.0,250.0,ABOVE,Yes
Veg Pizza-2X Topping,26 mins,Indian,Malad East, 50% OFF UPTO ₹100,,26.0,indian,50.0,100.0,UPTO,Yes
Tuk Tuk,25 mins,"Chinese, Fast Food",Malad East, ,,25.0,chinese,0.0,0.0,NONE,Yes
Foodys guys,26 mins,"Indian, Chinese, Mughlai, Tandoor, Arabian, Biryani",Malad East, ,,26.0,indian,0.0,0.0,NONE,Yes
MOGO Pizza,4.4 • 24 mins,"Pizzas, Burgers, Chinese, Desserts, Pastas, Italian",Kandivali East, 50% OFF UPTO ₹100,4.4,24.0,pizzas,50.0,100.0,UPTO,Yes
Oven Bake Pizza,24 mins,Pizzas,Malad East, 50% OFF UPTO ₹100,,24.0,pizzas,50.0,100.0,UPTO,Yes
Hotel Sheetal Picnic,2.8 • 27 mins,"North Indian, Thalis, Biryani",Borivali East, ,2.8,27.0,north indian,0.0,0.0,NONE,Yes
Baskin Robbins Food Court,25 mins,Ice Cream,Malad East, ,,25.0,ice cream,0.0,0.0,NONE,Yes
Om Sai Sandwich Corner,4.5 • 26 mins,"Fast Food, Pizzas",Malad East, ,4.5,26.0,fast food,0.0,0.0,NONE,Yes
Quenchers By Uk,24 mins,"Bakery, Desserts, Indian",Malad East, ,,24.0,bakery,0.0,0.0,NONE,Yes
Maa Sita Rasoi,25 mins,Indian,Malad East, ,,25.0,indian,0.0,0.0,NONE,Yes
All Seasons Kitchen and Bar,3.9 • 30 mins,"North Indian, Chinese, Biryani, Tandoor, Thai, Chaat, Indian, Desserts",Borivali West, ,3.9,30.0,north indian,0.0,0.0,NONE,Yes
Meethi Elaichi,5 • 25 mins,"Desserts, Sweets, Beverages",Malad East, 30% OFF UPTO ₹150,,25.0,desserts,30.0,150.0,UPTO,Yes
Nityanand Chinese,30 mins,"Indian, Chinese",Malad East, ,,30.0,indian,0.0,0.0,NONE,Yes
Green Dot Momos,36 mins,"Asian, Tibetan, Desserts, Beverages",Borivali West, ₹125 OFF ABOVE ₹249,,36.0,asian,0.0,125.0,ABOVE,Yes
Happy Da Paratha,2.7 • 41 mins,Indian,Rawal Pada, ,2.7,41.0,indian,0.0,0.0,NONE,Yes
Purple Foods,4.2 • 49 mins,"Indian, Tandoor, Biryani, Desserts, Beverages",Malad East, ₹100 OFF ABOVE ₹599,4.2,49.0,indian,0.0,100.0,ABOVE,Yes
Masterchef Kitchen,3.5 • 44 mins,"Chinese, Asian, Thai",Malad East, 30% OFF UPTO ₹150,3.5,44.0,chinese,30.0,150.0,UPTO,Yes
Flavours Of Biryani,3.4 • 49 mins,"Biryani, Tandoor, Kebabs",Malad Kan West, ,3.4,49.0,biryani,0.0,0.0,NONE,Yes
Egg Free Cakes,49 mins,"Bakery, Desserts",Mira Road, ,,49.0,bakery,0.0,0.0,NONE,Yes
Celebration Special by CakeZone,3.7 • 41 mins,"Bakery, Desserts",L T Road Junction, ₹175 OFF ABOVE ₹699,3.7,41.0,bakery,0.0,175.0,ABOVE,Yes
Spicy Chicken,53 mins,North Indian,Malad Kan West, ,,53.0,north indian,0.0,0.0,NONE,Yes
The J's Pizza,41 mins,"Pizzas, Pastas",Rawal Pada, ,,41.0,pizzas,0.0,0.0,NONE,Yes
Fud Boy,51 mins,"Biryani, Indian, Kebabs, Beverages",Malad Kan West, 30% OFF UPTO ₹150,,51.0,biryani,30.0,150.0,UPTO,Yes
Momoya,41 mins,Chinese,Rawal Pada, ,,41.0,chinese,0.0,0.0,NONE,Yes
Wandercrust,3.9 • 49 mins,"Pizzas, Italian",Goregaon East, 25% OFF UPTO ₹120,3.9,49.0,pizzas,25.0,120.0,UPTO,Yes
Swaad Snacks and Namkeen,4.4 • 37 mins,Indian,Borivali West, ,4.4,37.0,indian,0.0,0.0,NONE,Yes
Lucky chinese center,39 mins,Chinese,Dahisar, ,,39.0,chinese,0.0,0.0,NONE,Yes
Das Chilly Chinese,39 mins,Chinese,Dahisar, ,,39.0,chinese,0.0,0.0,NONE,Yes
Raja Vada Pav Goregaon Wala,3.9 • 37 mins,"Snacks, Fast Food",Borivali West, ,3.9,37.0,snacks,0.0,0.0,NONE,Yes
Sandy's Thick Shake,2.4 • 37 mins,"Desserts, Beverages",Borivali West, ,2.4,37.0,desserts,0.0,0.0,NONE,Yes
hotel shri krishna,37 mins,"South Indian, North Indian, Chinese, Beverages, Snacks",Borivali West, ,,37.0,south indian,0.0,0.0,NONE,Yes
Hem-The Cake Shop,3.6 • 39 mins,Desserts,Kandivali West, ,3.6,39.0,desserts,0.0,0.0,NONE,Yes
Zero Gravity ( Boriwali ),2.6 • 39 mins,Indian,Borivali West, ,2.6,39.0,indian,0.0,0.0,NONE,Yes
The Pastelworks Co. Malad,3.9 • 38 mins,Bakery,Malad East, 30% OFF UPTO ₹150,3.9,38.0,bakery,30.0,150.0,UPTO,Yes
Kulchizza Factory,37 mins,"North Indian, Chinese, Fast Food",Borivali West, ,,37.0,north indian,0.0,0.0,NONE,Yes
GURU KRUPA JUICE CENTER,38 mins,"Beverages, Juices",Borivali West, ,,38.0,beverages,0.0,0.0,NONE,Yes
Indocafe,2.8 • 37 mins,"Continental, Mexican, Italian, Desserts, Beverages",Borivali West, ,2.8,37.0,continental,0.0,0.0,NONE,Yes
Cafe Bahar Restaurant,3.8 • 38 mins,"Biryani, Arabian, Chinese, North Indian",Malad East, ,3.8,38.0,biryani,0.0,0.0,NONE,Yes
The Pavilion Bar And Resturant,4.1 • 39 mins,"North Indian, Biryani, Seafood, Chinese, Tandoor, Kebabs",ajanta shoping center, ,4.1,39.0,north indian,0.0,0.0,NONE,Yes
Twist and Taste,39 mins,"Chinese, Snacks",Borivali West, ,,39.0,chinese,0.0,0.0,NONE,Yes
My Choice Franky House,3.7 • 39 mins,Fast Food,Malad Kan West, ,3.7,39.0,fast food,0.0,0.0,NONE,Yes
The Chocolate Chips,4.4 • 34 mins,Indian,Borivali West, ,4.4,34.0,indian,0.0,0.0,NONE,Yes
Saucy Pasta Cartel,37 mins,Pastas,Borivali West, ,,37.0,pastas,0.0,0.0,NONE,Yes
Momos 8849,37 mins,Fast Food,Borivali West, ,,37.0,fast food,0.0,0.0,NONE,Yes
Veg Curries Of India,4.5 • 37 mins,"North Indian, Chinese, Street Food, Mughlai, Tandoor, Kebabs, Punjabi, Biryani, Snacks",Borivali West, ,4.5,37.0,north indian,0.0,0.0,NONE,Yes
Chef De Partie,34 mins,"Bakery, Beverages, Desserts",Dahisar, ,,34.0,bakery,0.0,0.0,NONE,Yes
Bolbol Burgers,4.2 • 39 mins,"Indian, Snacks, North Indian",Borivali West, ,4.2,39.0,indian,0.0,0.0,NONE,Yes
Buns & Deluchas,34 mins,"Bakery, Desserts",Borivali West, ,,34.0,bakery,0.0,0.0,NONE,Yes
BHURAJI SANDWICH,38 mins,"Fast Food, Snacks",Malad Kan West, ,,38.0,fast food,0.0,0.0,NONE,Yes
Hidden Spot Cafe & Resto,39 mins,Pizzas,Borivali West, ,,39.0,pizzas,0.0,0.0,NONE,Yes
Thick Shakes Magic- CAD B,37 mins,Indian,Dahisar, 30% OFF UPTO ₹150,,37.0,indian,30.0,150.0,UPTO,Yes
Ekdum Biryani,3.9 • 39 mins,"Biryani, North Indian, Mughlai, Tandoor, Kebabs",Kandivali West, 20% OFF ABOVE ₹700,3.9,39.0,biryani,20.0,700.0,ABOVE,Yes
Chaap Central by Punjabi Grill Dhaba,3.6 • 38 mins,Indian,Malad Kan West, ,3.6,38.0,indian,0.0,0.0,NONE,Yes
Vicky Chinese,37 mins,Chinese,Dahisar, ,,37.0,chinese,0.0,0.0,NONE,Yes
Kokan Chinese Corner,36 mins,"Chinese, Snacks",Malad Kan West, ,,36.0,chinese,0.0,0.0,NONE,Yes
Noor Chinese and tandoor,38 mins,Chinese,Borivali West, ,,38.0,chinese,0.0,0.0,NONE,Yes
Shree Samarth Malvani Food'S,38 mins,"North Indian, Indian",Borivali West, ,,38.0,north indian,0.0,0.0,NONE,Yes
Chavishtha Ventures Llp,4.1 • 38 mins,"Indian, Seafood, Snacks",Dahisar, ,4.1,38.0,indian,0.0,0.0,NONE,Yes
D Sandwicha & snakes corner,37 mins,"Italian, Pizzas, Snacks",Dahisar, ,,37.0,italian,0.0,0.0,NONE,Yes
Kulfi Bite,34 mins,Indian,Malad Kan West, ,,34.0,indian,0.0,0.0,NONE,Yes
Gladmad Pizza,4 • 39 mins,"Italian-American, Pizzas, Beverages",Borivali West, ,,39.0,italian-american,0.0,0.0,NONE,Yes
The Elegant Spatula-Creative Cakes n Cookies,39 mins,Bakery,Borivali West, ,,39.0,bakery,0.0,0.0,NONE,Yes
Navkar Mart,38 mins,"Snacks, Gujarati",Kandivali west, ₹100 OFF ABOVE ₹749,,38.0,snacks,0.0,100.0,ABOVE,Yes
Kings Corner,3.4 • 38 mins,Chinese,Dahisar East, ,3.4,38.0,chinese,0.0,0.0,NONE,Yes
Miss U Cake N Bake,38 mins,"Bakery, Jain",Malad East, ,,38.0,bakery,0.0,0.0,NONE,Yes
Radha Krishna Pav Bhaji,37 mins,Indian,Borivali West, ,,37.0,indian,0.0,0.0,NONE,Yes
Shree Mahalaxmi Fast Food & Juice Center,36 mins,"Chaat, Fast Food",Borivali West, ,,36.0,chaat,0.0,0.0,NONE,Yes
Gobble Up,38 mins,"Fast Food, Snacks, Chinese",Borivali West, ,,38.0,fast food,0.0,0.0,NONE,Yes
Shakeoty,3.9 • 37 mins,Beverages,Borivali West, ₹100 OFF ABOVE ₹999,3.9,37.0,beverages,0.0,100.0,ABOVE,Yes
Samarth Krupa Chinese Corner Tifin Service,39 mins,"North Indian, Chinese",Dahisar, ,,39.0,north indian,0.0,0.0,NONE,Yes
The Yellow Tadka,38 mins,"Indian, Chinese, Street Food, Thalis, Biryani, Tandoor",Borivali West, ,,38.0,indian,0.0,0.0,NONE,Yes
Sainath Hotel,2.8 • 39 mins,"Chinese, North Indian, South Indian",Dahisar, ,2.8,39.0,chinese,0.0,0.0,NONE,Yes
The Indian Gourmet Kitchen,4.7 • 39 mins,"Indian, Mughlai",Malad East, 50% OFF UPTO ₹100,4.7,39.0,indian,50.0,100.0,UPTO,Yes
Tea Pea Cafe Borivali(W),4.5 • 55 mins,"Indian, Fast Food, Italian-American, Snacks, Waffle",Borivali West, ,4.5,55.0,indian,0.0,0.0,NONE,Yes
Aromas Bingee,4.3 • 44 mins,"South Indian, Chinese, Fast Food",LOKMANYA LIBRARY, ₹125 OFF ABOVE ₹999,4.3,44.0,south indian,0.0,125.0,ABOVE,Yes
ShreeG,3.3 • 45 mins,Chinese,Dahisar, ,3.3,45.0,chinese,0.0,0.0,NONE,Yes
Delicious Chinese Cuisine,2.1 • 40 mins,Chinese,Dahisar, ,2.1,40.0,chinese,0.0,0.0,NONE,Yes
Gupta Juice And Sandwich,44 mins,"Juices, Fast Food, Beverages, Snacks, Pastas",Borivali West, ,,44.0,juices,0.0,0.0,NONE,Yes
Ice Cream Cake Factory,3.7 • 47 mins,Ice Cream Cakes,Malad West, ₹100 OFF ABOVE ₹999,3.7,47.0,ice cream cakes,0.0,100.0,ABOVE,Yes
Italiiano,47 mins,"Pizzas, Mexican, Italian, Pastas, Burgers",Jog Gor East, ,,47.0,pizzas,0.0,0.0,NONE,Yes
Le Quatre,3.2 • 51 mins,"Desserts, Bakery, Snacks",anupama anand nagar, ,3.2,51.0,desserts,0.0,0.0,NONE,Yes
Ami Ice-Cream,45 mins,Desserts,Malad Kan West, ,,45.0,desserts,0.0,0.0,NONE,Yes
Eat Cake Love,40 mins,Bakery,Malad Kan West, ,,40.0,bakery,0.0,0.0,NONE,Yes
Sai Rameshwar,40 mins,Chinese,Borivali West, ,,40.0,chinese,0.0,0.0,NONE,Yes
Jodhana Zaika,46 mins,"Chinese, Indian, Beverages",Borivali West, ,,46.0,chinese,0.0,0.0,NONE,Yes
Shree Krishna Family Restaurant & Bar,46 mins,"Indian, Chinese, Biryani",Dahisar East, ,,46.0,indian,0.0,0.0,NONE,Yes
Hunger's Food,2.8 • 40 mins,Chinese,Borivali West, ,2.8,40.0,chinese,0.0,0.0,NONE,Yes
Billy's Burgers,4.4 • 51 mins,"Fast Food, Desserts, Beverages",Malad West, ,4.4,51.0,fast food,0.0,0.0,NONE,Yes
Ambrosia Cakes Bakes and Snacks,3.9 • 43 mins,"Bakery, Snacks, Desserts, Continental",Kandivali West, 20% OFF ABOVE ₹800,3.9,43.0,bakery,20.0,800.0,ABOVE,Yes
Aarti'S Food Magic,48 mins,"Indian, Biryani, Beverages",CSR COMPLEX BUILDING NO 14 FLAT NO 201, ,,48.0,indian,0.0,0.0,NONE,Yes
Sv Food Hub,3.9 • 42 mins,"Pizzas, Desserts",Malad East, ,3.9,42.0,pizzas,0.0,0.0,NONE,Yes
Momo Dynasty,45 mins,Chinese,Borivali West, ,,45.0,chinese,0.0,0.0,NONE,Yes
Quest,4.4 • 41 mins,"North Indian, Chinese, Continental, Oriental, Desserts",Borivali West, ,4.4,41.0,north indian,0.0,0.0,NONE,Yes
Nutrii Chef,3.6 • 47 mins,"Salads, Healthy Food",Malad Kan West, 25% OFF UPTO ₹125,3.6,47.0,salads,25.0,125.0,UPTO,Yes
Fresh Rasoi,57 mins,"Indian, Chinese, Beverages, Desserts, Biryani",Malad Kan West, ,,57.0,indian,0.0,0.0,NONE,Yes
Chinese & Momos Express,4.5 • 49 mins,"Chinese, Combo",Malad East, 40% OFF UPTO ₹200,4.5,49.0,chinese,40.0,200.0,UPTO,Yes
Borivali Healthy Juices,53 mins,"Juices, Beverages, Fast Food, Snacks, Pastas",Borivali West, ,,53.0,juices,0.0,0.0,NONE,Yes
Me Chinese!,59 mins,"Chinese, Thai, Arabian",Malad East, 40% OFF UPTO ₹200,,59.0,chinese,40.0,200.0,UPTO,Yes
Ram'S Radhe Krishna Cafe,52 mins,South Indian,Malad Kan West, ,,52.0,south indian,0.0,0.0,NONE,Yes
Umesh sandwich,40 mins,Fast Food,Borivali West, ,,40.0,fast food,0.0,0.0,NONE,Yes
Svvad Kitchen,40 mins,"Chinese, Pastas, Snacks",Borivali West, ,,40.0,chinese,0.0,0.0,NONE,Yes
Chinese Walla,43 mins,Indian,Borivali West, ,,43.0,indian,0.0,0.0,NONE,Yes
Mozzarella Pizza Hub,4 • 44 mins,"Pizzas, Snacks, Italian",Malad East, ,,44.0,pizzas,0.0,0.0,NONE,Yes
Sai Jee Amruttulya & Snacks,52 mins,Chinese,Malad Kan West, 20% OFF UPTO ₹120,,52.0,chinese,20.0,120.0,UPTO,Yes
Festive The Cake Shop,4.1 • 43 mins,Desserts,Malad East, ,4.1,43.0,desserts,0.0,0.0,NONE,Yes
Sai Darbar Hotel,47 mins,"Chinese, Indian, Biryani",Dahisar, ,,47.0,chinese,0.0,0.0,NONE,Yes
Big Bro'S Pizza,43 mins,"Pizzas, Burgers, Chinese, Snacks",Malad East, ,,43.0,pizzas,0.0,0.0,NONE,Yes
The Waffle Box,4 • 70 mins,Waffle,Malad Kan West, ₹250 OFF ABOVE ₹999,,70.0,waffle,0.0,250.0,ABOVE,Yes
Bakewills Boulangerie And Cafe,45 mins,"Fast Food, Chinese, Burgers",Borivali east, ,,45.0,fast food,0.0,0.0,NONE,Yes
Gopi Breakfast Point,43 mins,"Chinese, Beverages, Bakery",Borivali West, 20% OFF ABOVE ₹700,,43.0,chinese,20.0,700.0,ABOVE,Yes
Warm Baker s World,44 mins,Bakery,Borivali West, ,,44.0,bakery,0.0,0.0,NONE,Yes
Secret Multicuisine Restaurant,3.6 • 47 mins,"North Indian, Chinese, Biryani, Mughlai, Punjabi, Seafood, Beverages",Mira Road, ,3.6,47.0,north indian,0.0,0.0,NONE,Yes
P Hand Coffee,46 mins,"Beverages, Pizzas, South Indian",Malad Kan West, ,,46.0,beverages,0.0,0.0,NONE,Yes
Hunger Tea Cafe,46 mins,"Beverages, Snacks, Fast Food, Pizzas, Desserts",Borivali West, ,,46.0,beverages,0.0,0.0,NONE,Yes
Raccoon kitchen,4.9 • 48 mins,"North Indian, Indian, Biryani",Malad East, ,4.9,48.0,north indian,0.0,0.0,NONE,Yes
Red yellow restaurant,55 mins,"North Indian, Chinese, Biryani",Jog Gor East, ,,55.0,north indian,0.0,0.0,NONE,Yes
Mahesh Fine Dine,3.5 • 45 mins,"Indian, Fast Food",Borivali West, ,3.5,45.0,indian,0.0,0.0,NONE,Yes
Fizzy,4.2 • 43 mins,"Snacks, Beverages",Borivali West, ,4.2,43.0,snacks,0.0,0.0,NONE,Yes
Western Burger,51 mins,"Chinese, Burgers, Pizzas",Malad Kan West, ,,51.0,chinese,0.0,0.0,NONE,Yes
J3Pizzaa,3.8 • 54 mins,"Italian, Pizzas",Jog Gor East, ,3.8,54.0,italian,0.0,0.0,NONE,Yes
Miami Waffles & Jawbreakers,4 • 48 mins,"Waffle, Desserts, Beverages",Malad West, ₹175 OFF ABOVE ₹449,,48.0,waffle,0.0,175.0,ABOVE,Yes
Chaat Pat Snackks,5 • 43 mins,"Snacks, Fast Food, Chinese, Beverages",Malad East, ,,43.0,snacks,0.0,0.0,NONE,Yes
Fast Food And Beverage's,49 mins,"Beverages, Snacks, Pizzas, Fast Food",Malad Kan West, ,,49.0,beverages,0.0,0.0,NONE,Yes
12th Pass Coffee And Tea,47 mins,"Beverages, Chinese, Burgers",Malad Kan West, ,,47.0,beverages,0.0,0.0,NONE,Yes
Aranyam Fine Dine & Bar,63 mins,"North Indian, Chinese, Biryani",Goregaon East, ₹175 OFF ABOVE ₹449,,63.0,north indian,0.0,175.0,ABOVE,Yes
Quick Kukkad,4.7 • 40 mins,"Snacks, Kebabs, Tandoor",Borivali West, 20% OFF UPTO ₹100,4.7,40.0,snacks,20.0,100.0,UPTO,Yes
Veganiza,5 • 45 mins,"Snacks, Pastas",Malad East, ,,45.0,snacks,0.0,0.0,NONE,Yes
Rashmin Patisserie & Savory,40 mins,"Bakery, Desserts",Malad East, ,,40.0,bakery,0.0,0.0,NONE,Yes
Red Dots,2.9 • 55 mins,"North Indian, Chinese, Biryani",Jog Gor East, ,2.9,55.0,north indian,0.0,0.0,NONE,Yes
Tanisha Dry Fruits,52 mins,Indian,Malad Kan West, ,,52.0,indian,0.0,0.0,NONE,Yes
Cooper's Home Kitchen,51 mins,"Biryani, South Indian, Continental, Chinese",Malad Kan West, ,,51.0,biryani,0.0,0.0,NONE,Yes
Cooper's Bakery,50 mins,"Bakery, Fast Food, Snacks",Malad Kan West, ,,50.0,bakery,0.0,0.0,NONE,Yes
Steam 99,60 mins,"Chinese, Fast Food, Beverages",Jog Gor East, ,,60.0,chinese,0.0,0.0,NONE,Yes
2? Cakes,52 mins,Bakery,Jog Gor East, ,,52.0,bakery,0.0,0.0,NONE,Yes
Frosting the cake shop,42 mins,Bakery,Malad East, ,,42.0,bakery,0.0,0.0,NONE,Yes
Shree Krishnas Kitchen,42 mins,"North Indian, Indian",Dahisar, 15% OFF UPTO ₹100,,42.0,north indian,15.0,100.0,UPTO,Yes
Dim Shi,3.7 • 54 mins,"Asian, Chinese",Borivali West, ,3.7,54.0,asian,0.0,0.0,NONE,Yes
7 Layers,42 mins,Bakery,Malad Kan West, ,,42.0,bakery,0.0,0.0,NONE,Yes
Dreams & Beans Coffee,49 mins,Beverages,Malad Kan West, ,,49.0,beverages,0.0,0.0,NONE,Yes
Jain Dugdhaly,42 mins,"Bakery, Sweets",Malad East, ,,42.0,bakery,0.0,0.0,NONE,Yes
Chow Mi Adda Chinese And Momos Corner,51 mins,"Chinese, Thai, Asian",Malad Kan West, ,,51.0,chinese,0.0,0.0,NONE,Yes
D'aromas Coffee,49 mins,Beverages,Malad West, ₹100 OFF ABOVE ₹499,,49.0,beverages,0.0,100.0,ABOVE,Yes
Forks & Spoons,42 mins,"Pizzas, Chinese, Pastas, Beverages, Fast Food, Burgers",Malad East, ,,42.0,pizzas,0.0,0.0,NONE,Yes
Vishal Chinese Corner,40 mins,Chinese,Malad East, ,,40.0,chinese,0.0,0.0,NONE,Yes
Dessert 99,44 mins,"Waffle, Desserts, Beverages",Borivali West, ,,44.0,waffle,0.0,0.0,NONE,Yes
Gosssip Corner - Cafe Resto,46 mins,Indian,Dahisar, ,,46.0,indian,0.0,0.0,NONE,Yes
Havmor Ice Cream Parlour,47 mins,Ice Cream,Borivali West, ,,47.0,ice cream,0.0,0.0,NONE,Yes
The Spice Of Mumbai,3.3 • 63 mins,"North Indian, Chinese",Malad West, ,3.3,63.0,north indian,0.0,0.0,NONE,Yes
Brijwasi Mart,2.8 • 55 mins,"Waffle, Desserts, Snacks, Beverages",Mira Road, ₹150 OFF ABOVE ₹749,2.8,55.0,waffle,0.0,150.0,ABOVE,Yes
Caky Bakey,42 mins,Bakery,Borivali West, ₹100 OFF ABOVE ₹499,,42.0,bakery,0.0,100.0,ABOVE,Yes
Gully Dosa,3.9 • 51 mins,"South Indian, Street Food",Jog Gor West, ,3.9,51.0,south indian,0.0,0.0,NONE,Yes
Kadam Bandhu,41 mins,Fast Food,Dahisar, ,,41.0,fast food,0.0,0.0,NONE,Yes
King Bhujing Biryani Corner,4.3 • 42 mins,"Biryani, North Indian",Borivali West, ,4.3,42.0,biryani,0.0,0.0,NONE,Yes
Pizza Rride,4.1 • 44 mins,"Pizzas, Continental",Malad East, ,4.1,44.0,pizzas,0.0,0.0,NONE,Yes
R.K Food Hub,4.5 • 43 mins,"Fast Food, Chinese, Snacks, Beverages",Borivali West, ,4.5,43.0,fast food,0.0,0.0,NONE,Yes
Biryani And Spice,4.9 • 47 mins,"Biryani, Mughlai, North Indian",Malad Kan West, ₹100 OFF ABOVE ₹749,4.9,47.0,biryani,0.0,100.0,ABOVE,Yes
Quarter Castle Resto Bar,3.8 • 51 mins,"Continental, Chinese, Indian, Beverages",Malad West, ,3.8,51.0,continental,0.0,0.0,NONE,Yes
Tandoor Tribes,3.1 • 40 mins,"Snacks, Tandoor",Borivali West, ,3.1,40.0,snacks,0.0,0.0,NONE,Yes
Sunik Foodland,42 mins,"Desserts, Sweets, Snacks, Pizzas","Kandivali, Malad East", ,,42.0,desserts,0.0,0.0,NONE,Yes
Biryani Flavours,3.7 • 46 mins,"Biryani, Snacks, Kebabs, Sweets",Malad East, ,3.7,46.0,biryani,0.0,0.0,NONE,Yes
Vadapav And More,2.2 • 55 mins,"Indian, Snacks, Chaat, Juices, Desserts",Malad West, ₹75 OFF ABOVE ₹300,2.2,55.0,indian,0.0,75.0,ABOVE,Yes
Exotic Baristo,47 mins,"Beverages, Pizzas, Fast Food, Snacks",Dahisar, ,,47.0,beverages,0.0,0.0,NONE,Yes
Goregaon Kitchen,2.9 • 43 mins,"Chinese, Snacks, Arabian, Combo",Malad East, 30% OFF UPTO ₹150,2.9,43.0,chinese,30.0,150.0,UPTO,Yes
Ashley Kitchen,4.3 • 47 mins,"Indian, Chinese, Biryani",Malad Kan West, ₹200 OFF ABOVE ₹599,4.3,47.0,indian,0.0,200.0,ABOVE,Yes
